LastName,FirstName,Department,JobTitle,Salary,DateHired
Anderson,Elizabeth,Facilities,Maintenance Worker,35302,7/25/2006
Smith,David,Facilities,Facilities Manager,66856,2/2/2014
Jones,Michael,Finance,Financial Analyst,61942,3/17/2014
Brown,Robert,Finance,Accountant,54792,10/13/2014
Taylor,Joseph,HR,Recruiter,47329,2/20/2014
Harris,Patricia,HR,Recruiter,52405,2/15/2002
Miller,David,HR,HR Manager,79116,12/16/2003
Taylor,Jennifer,HR,Recruiter,54534,12/24/2000
Miller,Barbara,HR,HR Manager,81738,8/13/1999
Williams,John,HR,HR Assistant,42039,9/2/2011
White,Barbara,IT,System Administrator,69292,7/10/2010
Johnson,John,Finance,Payroll Specialist,58966,9/29/2011
White,John,Administration,Clerk,37529,8/10/2004
Moore,William,HR,Recruiter,45011,1/2/2012
Martin,Jennifer,IT,IT Support Specialist,59326,2/2/2011
Miller,Patricia,IT,System Administrator,62700,4/23/2003
Anderson,Michael,Administration,Secretary,40005,1/3/2004
Martin,Jessica,HR,HR Manager,72988,4/1/2004
Jones,Robert,Finance,Financial Analyst,62553,8/5/2010
Johnson,Mary,Facilities,Custodian,32291,7/19/2004
Johnson,Michael,Administration,Secretary,37165,4/2/2009
Taylor,Robert,HR,HR Assistant,46972,6/20/2001
Martin,Jessica,IT,System Administrator,69805,2/7/2012
